time,index,label,train_label,wave_form
1.008,252,a,2,-0.040077633844990905
1.012,253,a,2,-0.036108240312434405
1.016,254,a,2,-0.04189229764890584
1.02,255,a,2,-0.05625353885127554
1.024,256,a,2,-0.07833615845301668
1.028,257,a,2,-0.09907782744931852
1.032,258,a,2,-0.08690424738318121
1.036,259,a,2,-0.04957243571709738
1.04,260,a,2,0.06501639460111053
1.044,261,a,2,0.1896566608373501
1.048,262,a,2,0.37225597405533845
1.052,263,a,2,0.5730710878224087
1.056,264,a,2,0.7128405201592246
1.06,265,a,2,0.838297792518196
1.064,266,a,2,0.8818163898153664
1.068,267,a,2,0.7149764549851481
1.072,268,a,2,0.4089631853696298
1.076,269,a,2,0.1839413445486444
1.08,270,a,2,0.04671502326513383
1.084,271,a,2,-0.048982002265981595
1.088,272,a,2,-0.07069777456259352
1.092,273,a,2,-0.06814825117735177
1.096,274,a,2,-0.06895360452518233
1.1,275,a,2,-0.06390113405248692
1.104,276,na,0,-0.05516772560707586
1.108,277,na,0,-0.05002997020359912
1.112,278,na,0,-0.053307417313086435
1.116,279,na,0,-0.04919114054241549
1.12,280,na,0,-0.05164783458166525
1.124,281,na,0,-0.05067208327380332
1.1280000000000001,282,na,0,-0.051699582395253574
1.1320000000000001,283,na,0,-0.05096812383635979
1.1360000000000001,284,na,0,-0.05065737585238217
1.1400000000000001,285,na,0,-0.04882444051710105
1.1440000000000001,286,na,0,-0.048122345573575295
1.1480000000000001,287,na,0,-0.04741732167134993
1.1520000000000001,288,na,0,-0.047888715159723226
1.156,289,na,0,-0.047551811605882593
1.16,290,na,0,-0.04708596879573249
1.164,291,na,0,-0.04610186978013201
1.168,292,na,0,-0.04588464227023077
1.172,293,na,0,-0.04520644794879311
1.176,294,na,0,-0.04476938586120155
1.18,295,na,0,-0.04405703188446877
1.184,296,na,0,-0.04442184840309004
1.188,297,na,0,-0.04393475695785918
1.192,298,na,0,-0.044572159331412835
1.196,299,na,0,-0.044304029697619395
1.2,300,na,0,-0.04406951114711746
1.204,301,na,0,-0.04434638156019074
1.208,302,na,0,-0.044639111296809426
1.212,303,na,0,-0.043826237116454
1.216,304,na,0,-0.044412416852073054
1.22,305,na,0,-0.04411982446377633
1.224,306,na,0,-0.044546168141653346
1.228,307,na,0,-0.04338300159418573
1.232,308,na,0,-0.0424581468301602
1.236,309,na,0,-0.04088253099761744
1.24,310,na,0,-0.03881167484566725
1.244,311,na,0,-0.03869304880989477
1.248,312,t,3,-0.03766442744945389
1.252,313,t,3,-0.034452651863656876
1.256,314,t,3,-0.031369074662721326
1.26,315,t,3,-0.027891042835869177
1.264,316,t,3,-0.02443182432462682
1.268,317,t,3,-0.017341550777304378
1.272,318,t,3,-0.011121217639382917
1.276,319,t,3,-0.00500987849921996
1.28,320,t,3,0.0011977404985509467
1.284,321,t,3,0.007318862302624358
1.288,322,t,3,0.013929983900088622
1.292,323,t,3,0.020582691780329652
1.296,324,t,3,0.02774715567833636
1.3,325,t,3,0.03413522068465782
1.304,326,t,3,0.04061965019571351
1.308,327,t,3,0.04616819337113873
1.312,328,t,3,0.051543692939594064
1.316,329,t,3,0.055194127073821056
1.32,330,t,3,0.058439286863732655
1.324,331,t,3,0.059695103598789684
1.328,332,t,3,0.060541684814448514
1.332,333,t,3,0.05910832190672593
1.336,334,t,3,0.056484427965824126
1.34,335,t,3,0.05229504369891738
1.344,336,t,3,0.047359565636414254
1.348,337,t,3,0.04157764544196914
1.352,338,t,3,0.036239175161712364
1.356,339,t,3,0.030714779923497748
1.3599999999999999,340,t,3,0.024912886592188255
1.3639999999999999,341,t,3,0.019669405165438945
1.3679999999999999,342,t,3,0.015039689093079248
1.3719999999999999,343,t,3,0.010346690354853338
1.376,344,t,3,0.006716781427610164
1.38,345,t,3,0.003971759040072452
1.384,346,t,3,0.0016256110037352629
1.388,347,t,3,8.29465996511459e-05
1.392,348,t,3,-0.0009290031246373546
1.396,349,t,3,-0.0020106277678591626
1.4,350,t,3,-0.0028088631563792407
1.404,351,na,0,-0.0025718764298667154
1.408,352,na,0,-0.003050776701376172
1.412,353,na,0,-0.00425686721208386
1.416,354,na,0,-0.0052956539492826265
1.42,355,na,0,-0.0065217769938038465
1.424,356,na,0,-0.007524683677434032
1.428,357,na,0,-0.00879666188148964
1.432,358,na,0,-0.009737151334788925
1.436,359,na,0,-0.011114419004754126
1.44,360,na,0,-0.01169703992591236
1.444,361,na,0,-0.011718022413390436
1.448,362,na,0,-0.011190021306875467
1.452,363,na,0,-0.011971682351095535
1.456,364,na,0,-0.013360386321006877
1.46,365,na,0,-0.013961462493297279
1.464,366,na,0,-0.013932820776308192
1.468,367,na,0,-0.013974810494923447
1.472,368,na,0,-0.013328475594301722
1.476,369,na,0,-0.012041575876080391
1.48,370,na,0,-0.01093795007699161
1.484,371,na,0,-0.010830928837190747
1.488,372,na,0,-0.009818144996309576
1.492,373,na,0,-0.009347748662378317
1.496,374,na,0,-0.008897178928289519
1.5,375,na,0,-0.008362452882896656
1.504,376,na,0,-0.008732633439523895
1.508,377,na,0,-0.00747207465105429
1.512,378,na,0,-0.006579092369387681
1.516,379,na,0,-0.005248410526620374
1.52,380,na,0,-0.004269332519839884
1.524,381,na,0,-0.003949159797394395
1.528,382,na,0,-0.0041423636899735015
1.532,383,na,0,-0.0039465854446990535
1.536,384,na,0,-0.004168746405661636
1.54,385,na,0,-0.0038882443115403707
1.544,386,na,0,-0.004394995001102484
1.548,387,na,0,-0.004837026359406889
1.552,388,na,0,-0.005349234097791407
1.556,389,na,0,-0.006278434179408945
1.56,390,na,0,-0.006544722546771336
1.564,391,na,0,-0.007176376341534625
1.568,392,na,0,-0.007493426787867125
1.572,393,na,0,-0.00878138120778151
1.576,394,na,0,-0.009802167404241917
1.58,395,na,0,-0.010857595436571483
1.584,396,na,0,-0.010908910960740079
1.588,397,na,0,-0.012083862211546979
1.592,398,na,0,-0.013144903204248269
1.596,399,na,0,-0.012928747781944118
1.6,400,na,0,-0.013342486147659476
1.604,401,na,0,-0.013885422572244906
1.608,402,na,0,-0.014292846236301646
1.612,403,na,0,-0.015330924228292936
1.616,404,na,0,-0.015481813618308221
1.62,405,na,0,-0.0162405694422251
1.624,406,na,0,-0.016407358066811158
1.6280000000000001,407,na,0,-0.017902559970443932
1.6320000000000001,408,na,0,-0.018427171356926918
1.6360000000000001,409,na,0,-0.018458910214344443
1.6400000000000001,410,na,0,-0.017988283287831856
1.6440000000000001,411,na,0,-0.018434976951090244
1.6480000000000001,412,na,0,-0.018473659883523955
1.6520000000000001,413,na,0,-0.018366856162193503
1.6560000000000001,414,na,0,-0.01877099672656885
1.6600000000000001,415,na,0,-0.019889040543212284
1.6640000000000001,416,na,0,-0.019745710715250612
1.6680000000000001,417,na,0,-0.019814234261333424
1.6720000000000002,418,na,0,-0.019796726103153892
1.6760000000000002,419,na,0,-0.019748506321455833
1.6800000000000002,420,na,0,-0.020019686004320653
1.6840000000000002,421,na,0,-0.020711019019607226
1.6880000000000002,422,na,0,-0.02094493785980776
1.6920000000000002,423,na,0,-0.02221509416044919
1.6960000000000002,424,na,0,-0.02190190289399111
1.7000000000000002,425,na,0,-0.022203219886647127
1.7040000000000002,426,na,0,-0.020972530795453883
1.7080000000000002,427,na,0,-0.02065193694616508
1.712,428,na,0,-0.020695051663522795
1.716,429,na,0,-0.020707794291458945
1.72,430,na,0,-0.02066148387502911
1.724,431,na,0,-0.020755267081761394
1.728,432,na,0,-0.020012763581332735
1.732,433,na,0,-0.019743616250741447
1.736,434,na,0,-0.019801008253502835
1.74,435,na,0,-0.019834937579497627
1.744,436,na,0,-0.018827446275808873
1.748,437,na,0,-0.01830751712995622
1.752,438,na,0,-0.018533423970285325
1.756,439,na,0,-0.01838790978893046
1.76,440,na,0,-0.017893190802010205
1.764,441,na,0,-0.017328995753202132
1.768,442,na,0,-0.017900394560022993
1.772,443,na,0,-0.018373307540809052
1.776,444,na,0,-0.01855587866052183
1.78,445,na,0,-0.018276306834861818
1.784,446,na,0,-0.018869317752450675
1.788,447,na,0,-0.019777514634303835
1.792,448,na,0,-0.01989245413295091
1.796,449,na,0,-0.018760828532633788
1.8,450,na,0,-0.017907562513159194
1.804,451,na,0,-0.018696877627179156
1.808,452,na,0,-0.020061567467855423
1.812,453,na,0,-0.01847493980832806
1.816,454,p,1,-0.016674896755850085
1.82,455,p,1,-0.01555786461459847
1.824,456,p,1,-0.01452480431725177
1.828,457,p,1,-0.012981566745679914
1.832,458,p,1,-0.01119430377597403
1.836,459,p,1,-0.0120494192425297
1.84,460,p,1,-0.011743864934817282
1.8439999999999999,461,p,1,-0.011803953320282466
1.8479999999999999,462,p,1,-0.011312921924728886
1.8519999999999999,463,p,1,-0.009831893046207785
1.8559999999999999,464,p,1,-0.008953051971405546
1.8599999999999999,465,p,1,-0.007190709380927779
1.8639999999999999,466,p,1,-0.005478721245722193
1.8679999999999999,467,p,1,-0.004118097780923154
1.8719999999999999,468,p,1,-0.002191431289653224
1.876,469,p,1,-0.00048752966707388626
1.88,470,p,1,0.0009720627078948838
1.884,471,p,1,0.0004937583097904735
1.888,472,p,1,3.521691125683901e-05
1.892,473,p,1,-0.003028840923000644
1.896,474,p,1,-0.006479870058849759
1.9,475,p,1,-0.010738592995761667
1.904,476,p,1,-0.015333868972613506
1.908,477,p,1,-0.019794659093613245
1.912,478,p,1,-0.02326930272237942
1.916,479,p,1,-0.025127057789896018
1.92,480,p,1,-0.027722010392946438
1.924,481,p,1,-0.029866823735312353
1.928,482,na,0,-0.03163896168414969
1.932,483,na,0,-0.03240970631197505
1.936,484,na,0,-0.03360476538372865
1.94,485,na,0,-0.0329637034437833
1.944,486,na,0,-0.03286261167554565
1.948,487,na,0,-0.03137331044941803
1.952,488,na,0,-0.033711218014984785
1.956,489,na,0,-0.03282225348351921
1.96,490,na,0,-0.03833269434972484
1.964,491,a,2,-0.03943523765802398
1.968,492,a,2,-0.03798432982695148
1.972,493,a,2,-0.05701592028421434
1.976,494,a,2,-0.0861199139745709
1.98,495,a,2,-0.08669532870392167
1.984,496,a,2,-0.05636228742545518
1.988,497,a,2,0.029724132965388846
1.992,498,a,2,0.15237412218748775
1.996,499,a,2,0.300877867087057
2.0,500,a,2,0.5106973910612078
2.004,501,a,2,0.6586717549174986
2.008,502,a,2,0.7912682431586884
